"filename", "language", "JSON with Comments", "JavaScript", "SQL", "TypeScript", "Markdown", "JSON", "XML", "Solidity", "TypeScript JSX", "CSS", "SCSS", "comment", "blank", "total"
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\components\reset-password.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 10, 12, 102
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\components\scroll-fade-in.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 16, 5, 46
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\components\scroll-to-top.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 2, 5, 34
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\components\signup.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 15, 17, 154
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\components\supabase-listener.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 4, 10, 45
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\components\youtube.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 3, 20
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\error.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 2, 13
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\hooks\getExistData.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 4, 17
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\hooks\getRequestData.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 4, 17
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\hooks\getSchoolData.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 5, 10, 43
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\hooks\use-intersection-observer.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 5, 3, 30
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 1, 10
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\not-found.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 1, 5, 25
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 2, 4, 56
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\settings\educational\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 2, 6, 26
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\settings\educational\confirm\[id]\done\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 2, 6, 26
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\settings\educational\confirm\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 2, 6, 26
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\settings\educational\form\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 2, 6, 26
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\settings\educational\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 2, 6, 26
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\settings\educational\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 2, 6, 26
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\settings\educational\requests\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 2, 6, 26
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\settings\educational\resume\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 2, 6, 26
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\settings\email\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 5, 26
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\settings\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 2, 6, 85
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\settings\logout\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 5, 26
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\settings\password\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 5, 26
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\app\settings\profile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 2, 6, 26
